scan,tier,row,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
3,3,5,,MN12AA6613,MN12AA6609,MN12AA6612,MN13AA0319,,,,,,,
3,3,6,,MN13AA0332,MN13AA0216,MN13AA0215,,,,,,,,
3,3,7,,MN13AA0116,MN13AA0114,MN13AA0115,,,,,,,,
3,3,8,,MN13AA0119,MN13AA0118,,,,,,,,,
3,4,1,,,,,,,,,,,,
3,4,2,,,,,,,,,,,,
3,4,3,,,,,,,,,,,,
3,4,4,,,,,,,,,,,,
3,4,5,,,,,,,,,,,,
3,4,6,,,,,,,,,,,,
3,4,7,,,,,,,,,,,,
3,4,8,,,,,,,,,,,,
4,1,1,,MN10AA0114,MN10AA0116,MN10AA0110,,,,,,,,
4,1,2,,MN10AA0208,MN10AA0209,MN10AA0313,MN10AA0510,,,,,,,
4,1,3,MN10AA0111,MN10AA0311,MN10AA0507,MN10AA0612,MN10AA0610,,,,,,,
4,1,4,MN10AA0115,MN10AA0609,MN10AA0608,MN10AA0711,MN10AA0712,,,,,,,
4,1,5,MN10AA0210,MN10AA0407,MN10AA0406,MN10AA0410,MN10AA0409,,,,,,,
4,1,6,MN10AA0317,MN10AA0408a,MN10AA0812,MN10AA0807,MN10AA0811,,,,,,,
4,1,7,MN10AA0511,MN10AA0808,MN10AA0911,MN10AA0912,MN10AA0913,,,,,,,
4,1,8,,MN10AA1012,MN10AA1009,MN10AA1008,,,,,,,,
4,2,1,,MN10AA1014,MN19061804,MN19061805,,,,,,,,
4,2,2,,MN19061806,MN19062404,MN19060607,MN19060608,,,,,,,
4,2,3,,MN10AA2008,MN10AA1805,MN10AA1806,MN19060610,,,,,,,
4,2,4,MN10AA1010,MN10AA1908,MN12AA0303,MN12AA0304,MN19060611,,,,,,,
4,2,5,MN19061307,MN10AA0408b,MN12AA0411,MN12AA0409,MN10AA2010,,,,,,,
4,2,6,MN19061310,MN12AA0611,MN12AA0514,MN12AA0515,MN19063011,,,,,,,
4,2,7,MN19061309,MN12AA0907,MN12AA0915,MN12AA0920,MN19063012,,,,,,,
4,2,8,,MN12AA0916,MN12AA0919,MN12AA0917,,,,,,,,
4,3,1,,MN12AA0918,MN12AA0909,MN12AA0921,,,,,,,,
4,3,2,,MN12AA0113,MN12AA0210,MN12AA0119,MN12AA0115,,,,,,,
4,3,3,,MN12AA0114,MN12AA0111,MN12AA0123,MN12AA0116,,,,,,,
4,3,4,,MN12AA0117,MN12AA0122,MN12AA0214,MN12AA6012,,,,,,,
4,3,5,MN12AA5615,MN12AA0110,MN12AA0215,MN12AA6015,MN12AA5612,,,,,,,
4,3,6,MN12AA5614,MN12AA0118,MN12AA6014,MN12AA1117,MN12AA5618,,,,,,,
4,3,7,MN19063009,MN12AA0112,MN12AA5709,MN12AA5710,MN12AA5613,,,,,,,
4,3,8,,MN12AA0121,MN12AA1116,MN12AA5617,,,,,,,,
4,4,1,,MN12AA5616,MN19063008,MN19063106,,,,,,,,
4,4,2,,MN19063108,MN19063109,MN19063110,MN19063111,,,,,,,
4,4,3,,MN12AA5814,MN12AA5815,MN12AA5813,MN19063116,,,,,,,
4,4,4,,MN12AA5810,MN12AA5811,MN12AA6314,MN19063112,,,,,,,
4,4,5,,MN12AA6213,MN12AA6107,MN12AA6108,MN19063113,,,,,,,
4,4,6,MN19063118,MN12AA6111,MN12AA6119,MN12AA6113b,MN19063115,,,,,,,
4,4,7,MN19063117,MN12AA6410,MN12AA6510,MN12AA6511,MN19063114,,,,,,,
4,4,8,,MN12AA6513,MN12AA6516,MN12AA6518,,,,,,,,
4,5,1,,,,,,,,,,,,
4,5,2,,,,,,,,,,,,
4,5,3,,,,,,,,,,,,
4,5,4,,,,,,,,,,,,
4,5,5,,,,,,,,,,,,
4,5,6,,,,,,,,,,,,
4,5,7,,,,,,,,,,,,
4,5,8,,,,,,,,,,,,
5,1,1,,MN19063608,MN19064403,MN19064409,,,,,,,,
5,1,2,,MN19064208,MN19064213,MN19064212,MN19063708,,,,,,,
5,1,3,,MN19063807,MN19063808,MN19063504,MN19064108,,,,,,,
5,1,4,,MN19063403,MN19065309,MN19065312,MN19064110,,,,,,,
5,1,5,,MN19080602,MN19080605,MN19064810,MN19063611,,,,,,,
5,1,6,MN19064008,MN19064809,MN19064808,MN19064807,MN19063610,,,,,,,
5,1,7,MN19063713,MN19064806,MN19064507,MN19064909,MN19064407,,,,,,,
5,1,8,,MN19064912,MN19064914,MN19064913,,,,,,,,
5,2,1,,MN18061212a,MN18061209,MN18061211,,,,,,,,
5,2,2,,MN18061308,MN18061309,MN18061310,MN18061414,,,,,,,
5,2,3,,MN18061311,MN18061312,MN18061313,MN18061415,,,,,,,
5,2,4,,MN18060315,MN18061508,MN18061612,MN18061416,,,,,,,
5,2,5,MN18061615,MN18061613,MN19064306,MN19064004,MN18061417,,,,,,,
5,2,6,MN18061618,MN19063706,MN19063707,MN19064105,MN18061418,,,,,,,
5,2,7,MN18061617,MN19064109,MN19064107,MN19063605,MN18061614,,,,,,,
5,2,8,,MN19063606,MN19063607,MN19063609,,,,,,,,
5,3,1,,MN18060714,MN18060713,MN18060718,,,,,,,,
5,3,2,,MN18060727,MN18060719,MN18060720,MN18060734,,,,,,,
5,3,3,,MN18060724,MN18060722,MN18060721,MN18060731,,,,,,,
5,3,4,MN18061015,MN18060726,MN18060725,MN18060729,MN18060806,,,,,,,
5,3,5,MN18061109,MN18060809,MN18061112,MN18061014,MN19064007,,,,,,,
5,3,6,MN19064308,MN18061013,MN18061016,MN18061111,MN19064006,,,,,,,
5,3,7,MN19063908,MN18061110,MN18061108,MN18061107,MN19064005,,,,,,,
5,3,8,,MN18061208,MN18061214,MN18061212b,,,,,,,,
5,4,1,,MN18060711,MN18060712,MN19060805,,,,,,,,
5,4,2,,MN18060807,MN18060808,MN18061011,MN19064408,,,,,,,
5,4,3,MN18061215,MN18061106,MN19064302,MN19063907,MN19065019,,,,,,,
5,4,4,MN18061210,MN19063905,MN19064104,MN19064106,MN19065023,,,,,,,
5,4,5,MN19063909,MN19063604,MN19064209,MN19064211,MN19065021,,,,,,,
5,4,6,MN19063910,MN19063806,MN19063805,MN19065308,MN19065022,,,,,,,
5,4,7,MN19064405,MN19065311,MN19065310,MN19065313,MN19065028,,,,,,,
5,4,8,,MN19065013,MN19065014,MN19065017,,,,,,,,
6,1,1,,MN19080703,MN19080704,MN19065018,,,,,,,,
6,1,2,,MN19081207,MN19081223,MN19081222,MN19064410,,,,,,,
6,1,3,,MN19081221,MN19081220,MN190812119,MN19064411,,,,,,,
6,1,4,,MN19081218,MN19081217,MN19081216,MN19064216,,,,,,,
6,1,5,,MN19081215,MN19065410,MN19065411,MN19064215,,,,,,,
6,1,6,,MN19065205,MN19081128,MN19065105,MN19063809,,,,,,,
6,1,7,MN19064412,MN19065108,MN18030109,MN18030108,MN19063810,,,,,,,
6,1,8,,MN18030210,MN18030418,MN18030414,,,,,,,,
6,2,1,,MN18030608,MN18030609,MN18030610,,,,,,,,
6,2,2,,MN18030611,MN18030612,MN18030516,MN18030923,,,,,,,
6,2,3,MN18030613,MN18030519,MN18030515,MN18030518,MN19050627,,,,,,,
6,2,4,MN18030720,MN18030811,MN18030813,MN18030814,MN19050632,,,,,,,
6,2,5,MN18030723,MN18030815,MN18030816,MN18030712,MN19050634,,,,,,,
6,2,6,MN18030722,MN18030721,MN18030717,MN18030715,MN19050635,,,,,,,
6,2,7,MN19050626,MN18030713,MN18030714,MN18030716,MN19050631,,,,,,,
6,2,8,,MN18030718,MN18030711,MN18030719,,,,,,,,
6,3,1,,MN19081204,MN19081205,MN19081209,,,,,,,,
6,3,2,MN18030110,MN19081210,MN19081213,MN19081211,MN19081212,,,,,,,
6,3,3,MN18030310,MN19064605,MN19064606,MN19065409,MN18080118,,,,,,,
6,3,4,MN18030311,MN19081110,MN19081114,MN19065107,MN18080116,,,,,,,
6,3,5,MN18030211,MN18030308,MN18030309,MN18030413,MN18080117,,,,,,,
6,3,6,MN18030514,MN18030809,MN18030708,MN18030709,MN19050622,,,,,,,
6,3,7,MN18080115,MN18080111,MN18080112,MN18080110,MN19050628,,,,,,,
6,3,8,,MN18030906,MN18080114,MN18080113,,,,,,,,
7,1,1,,MN18090107,MN19050616,MN19050615,,,,,,,,
7,1,2,MN19050636,MN19050629,MN19050630,MN19050617,MN18080621,,,,,,,
7,1,3,MN18090310,MN19050618,MN19050625,MN19050624,MN19080844,,,,,,,
7,1,4,MN18080433,MN18090216,MN18080423,MN18080420,MN19080845,,,,,,,
7,1,5,MN18080434,MN18080432,MN18080512,MN18080514,MN19081027,,,,,,,
7,1,6,MN18080436,MN18080513,MN18080516,MN11AA0807,MN19081037,,,,,,,
7,1,7,MN18080435,MN18080307,MN18080214,MN18080619,MN19081034,,,,,,,
7,1,8,MN18080620,MN18080616,MN18080617,MN11AA0608,MN19081038,,,,,,,
7,2,1,,MN19081020,MN19081009,MN19081021,MN19081036,,,,,,,
7,2,2,MN19080937,MN19081023,MN19081024,MN19081030,MN19081028,,,,,,,
7,2,3,MN19080942,MN19081031,MN19080938,MN19080941,MN19081025,,,,,,,
7,2,4,MN19050257,MN19080940,MN19080939,MN19080936,MN19081026,,,,,,,
7,2,5,MN19050259,MN19050245,MN19050244,MN19050254,MN19050258,,,,,,,
7,2,6,MN19050262,MN19050552,MN19050550,MN19050551,MN19050255,,,,,,,
7,2,7,MN19050813,MN19050534,MN19050540,MN19050545,MN19050124,,,,,,,
7,2,8,,MN19050811,MN19050809,MN19050814,,,,,,,,
7,3,1,,MN18090106,MN11AA0705,MN19050607,,,,,,,,
7,3,2,,MN19050612,MN19050610,MN19050611,MN18080428,,,,,,,
7,3,3,,MN19050608,MN19050609,MN19050613,MN18080431,,,,,,,
7,3,4,MN19050620,MN19050623,MN18090214,MN18090211,MN11AA0505,,,,,,,
7,3,5,MN19050619,MN18090213,MN18090309,MN18080417,MN11AA0504,,,,,,,
7,3,6,MN19050621,MN18080419,MN18080416,MN18080424,MN18080711,,,,,,,
7,3,7,MN18080427,MN18080421,MN18080510,MN18080511,MN11AA0411,,,,,,,
7,3,8,,MN18080704,MN11AA0412,MN18090807,,,,,,,,
8,1,1,,MN13AA1125,MN13AA1121,MN13AA1123,MN13AA0420,,,,,,,
8,1,2,MN13AA1128,MN13AA1216,MN13AA1219,MN13AA1217,MN13AA0418,,,,,,,
8,1,3,MN13AA1124,MN13AA1116,MN13AA1120,MN13AA1117,MN13AA1030,,,,,,,
8,1,4,MN13AA1220,MN13AA0415,MN13AA0510,MN13AA1035,,,,,,,,
8,1,5,MN13AA1114,MN13AA1029,MN13AA1028,MN13AA0513,,,,,,,,
8,1,6,MN13AA0617,MN13AA0615,MN13AA1027,MN13AA0915,,,,,,,,
8,1,7,MN13AA0619,MN13AA0814,MN13AA1032,MN13AA0512,,,,,,,,
8,1,8,,MN13AA0416,MN13AA0816,MN13AA1031,,,,,,,,
8,2,1,,MN18090806,MN18090810,MN18090808,,,,,,,,
8,2,2,,MN18090809,MN11AA0811,MN11AA0810,MN18080613,,,,,,,
8,2,3,,MN18080213,MN18080210,MN18080208,MN18080615,,,,,,,
8,2,4,,MN18080610,MN11AA0606,MN19050409,MN19080842,,,,,,,
8,2,5,MN11AA0809,MN18090707,MN19080846,MN19080821,MN19080826,,,,,,,
8,2,6,MN18080212,MN19080823,MN19080817,MN19080814,MN19080843,,,,,,,
8,2,7,MN18080612,MN19080822,MN19080815,MN19080816,MN19080847,,,,,,,
8,2,8,,MN18080211,MN19080819,MN19080841,,,,,,,,
8,3,1,,MN18060709,MN19063904,MN19063906,,,,,,,,
8,3,2,,MN19063704,MN19063603,MN19064404,MN19064812,,,,,,,
8,3,3,MN19064506,MN19064207,MN19063804,MN19065304,MN19064811,,,,,,,
8,3,4,MN19063812,MN19065307,MN19065306,MN19064805,MN19065024,,,,,,,
8,3,5,MN19063813,MN19064505,MN19080702,MN19065011,MN19065109,,,,,,,
8,3,6,MN19063811,MN19065009,MN19081206,MN19081208,MN19080604,,,,,,,
8,3,7,MN19080603,MN19081109,MN19080924,MN19080923,MN19081018,,,,,,,
8,3,8,,MN19065103,MN19080921,MN19080910,,,,,,,,
9,1,1,,MN18072407,MN18072324,MN18072327,,,,,,,,
9,1,2,,MN18072325,MN18072323,MN18072335,MN18072338,,,,,,,
9,1,3,,MN18072334,MN18072332,MN18072331,MN18101443,,,,,,,
9,1,4,MN18101444,MN18072330,MN18072336,MN18072337,MN18101434,,,,,,,
9,1,5,MN18101431,MN18072716,MN18101426,MN18101425,MN18101432,,,,,,,
9,1,6,MN18101437,MN18101424,MN18101417,MN18101418,MN18101433,,,,,,,
9,1,7,MN18101435,MN18101422,MN18101420,MN18101423,MN18101429,,,,,,,
9,1,8,,MN18101428,MN18101427,MN18101430,,,,,,,,
9,2,1,,MN18032105,MN18032106,MN18032109,MN18032110,,,,,,,
9,2,2,,MN18071417,MN18071418,MN18071420,MN18071706,,,,,,,
9,2,3,MN18071828,MN18071119,MN18071120,MN18071122,MN18071716,,,,,,,
9,2,4,,MN18071616,MN18071617,MN18071620,MN18071717,,,,,,,
9,2,5,,MN18071622,MN18071709,MN18071703,MN18071719,,,,,,,
9,2,6,,MN18071707,MN18071815,MN18071819,MN18072104,,,,,,,
9,2,7,,MN18072103,MN18071921,MN18071923,MN18071824,,,,,,,
9,2,8,,MN18071822,MN18072020,MN18072023,,,,,,,,
9,3,1,,MN18030422,MN18030421,MN18030420,,,,,,,,
9,3,2,MN18031227,MN18031219,MN18031216,MN18031225,MN18031122,,,,,,,
9,3,3,MN18031015,MN18031226,MN18031228,MN18031008,MN18032108,,,,,,,
9,3,4,MN18031013,MN18031009,MN18031118,MN18031117,,,,,,,,
9,3,5,MN18031315,MN18031313,MN18031314,MN18032006,,,,,,,,
9,3,6,MN18031317,MN18032008,MN18032010,MN18032009,,,,,,,,
9,3,7,MN18031318,MN18031916,MN18031919,MN18031920,,,,,,,,
9,3,8,MN18032111,MN18032103,MN18032104,MN18032102,,,,,,,,
9,4,1,,MN13AA1020,MN13AA1021,MN13AA0809,,,,,,,,
9,4,2,,MN13AA1126,MN13AA1022,MN13AA1018,MN13AA1112,,,,,,,
9,4,3,,MN13AA1016,MN13AA1017,MN13AA1019,MN18031221,,,,,,,
9,4,4,MN13AA1118,MN13AA0914,MN13AA1122,MN13AA1218,MN18031114,,,,,,,
9,4,5,MN13AA1109,MN13AA0616,MN13AA0811,MN13AA0511,MN18031312,,,,,,,
9,4,6,MN13AA1115,MN13AA0912,MN13AA0916,MN13AA1129,MN18031311,,,,,,,
9,4,7,MN13AA1214,MN18031218,MN18031217,MN18031220,MN18031316,,,,,,,
9,4,8,,MN18031006,MN18031010,MN18031113,,,,,,,,
10,1,1,,MN18101309,MN18101308,MN18101312,,,,,,,,
10,1,2,,MN18101316,MN18101311,MN18101310,MN18110243,,,,,,,
10,1,3,MN18110244,MN18101313,MN18110231,MN18100206,MN18110622,,,,,,,
10,1,4,,MN18110221,MN18110240,MN18110241,,,,,,,,
10,1,5,,MN18110237,MN18110239,MN18110228,,,,,,,,
10,1,6,,MN18110230,MN18110234,MN18110505,,,,,,,,
10,1,7,,MN18110620,MN18110623,MN18110718,,,,,,,,
10,1,8,,MN18110712,MN18110714,MN18110713,,,,,,,,
10,2,1,,MN18072408,MN18072502,MN18072503,,,,,,,,
10,2,2,MN18072908,MN18072317,MN18072319,MN18072321,MN18072409,,,,,,,
10,2,3,MN18101415,MN18072318,MN18072320,MN18072316,MN18072333,,,,,,,
10,2,4,MN18101419,MN18072901,MN18072902,MN18072903,MN18072717,,,,,,,
10,2,5,MN18101421,MN18072611,MN18101410,MN18101412,MN18072713,,,,,,,
10,2,6,MN18101436,MN18101414,MN18101413,MN18101307,MN18072714,,,,,,,
10,2,7,MN18101317,MN18110227,MN18110235,MN18110217,MN18072715,,,,,,,
10,2,8,,MN18110222,MN18110238,MN18110108,,,,,,,,
10,3,1,,MN18031115,MN18031111,MN18032007,,,,,,,,
10,3,2,,MN18031917,MN18031918,MN18032101,MN18031921,,,,,,,
10,3,3,MN18032107,MN18071415,MN18071414,MN18071116,MN18071625,,,,,,,
10,3,4,MN18071117,MN18071701,MN18071710,MN18072102,MN18071821,,,,,,,
10,3,5,MN18071123,MN18071922,MN18072014,MN18072016,MN18071820,,,,,,,
10,3,6,,MN18072017,MN18072018,MN18072040,MN18071825,,,,,,,
10,3,7,,MN18072021,MN18072029,MN18072030,MN18072025,,,,,,,
10,3,8,,MN18071918,MN18071917,MN18072406,,,,,,,,
